household0,,household1,,household2,,household3,,household4,,household5,,household6,,household7,,household8,,household9,,poolPrice
1000554.78,998216.2173809748,1002312.25,992159.1853969422,1000025.0889999999,999908.6352770402,1000027.565,999905.8035655911,1000016.83,999939.5744017886,1000007.31,999975.7796202872,999985.822,999993.6917399106,999948.13,1000034.7681580882,1000002.3,999992.1770409718,10989984.025,10989992.13216715,2.7861990831507297
1000576.78,998093.2454985998,1000028.7230000001,999899.1234158099,1000026.758,999899.2462789605,1002370.25,991830.0679806857,1000017.1290000001,999937.8489222033,1000007.37,999975.4333378989,999986.093,999992.1276110772,999948.314,1000033.706057228,1000002.395,999991.6286376776,10989984.28,10989990.660044363,2.886724020718278
1000595.03,997987.6066836524,1000028.4550000001,999889.3699587992,1002429,991485.1034853198,1000029.815,999892.6024164135,1000017.462,999935.859657766,1000007.46,999974.895640561,999986.343,999990.633915235,999948.4650000001,1000032.8037806901,1000002.495,999991.0310690891,10989984.540000001,10989989.106263507,2.988262999004434
1000610.53,997894.7640935056,1000030.154,999879.1453581838,1002486,991139.0728133542,1000031.014,999885.202029205,1000017.777,999933.9146709635,1000007.61,999973.9693515956,999986.582,999989.1579127733,999948.642,1000031.7105704182,1000002.58,999990.5060476777,10989984.75,10989987.809080293,3.088719617674487
1000626.53,997795.6951527644,1000031.814,999868.8166449706,1002544.25,990773.3617483224,1000031.9709999999,999879.0901784431,1000018.11,999931.7872758331,1000007.7899999999,999972.8192655717,999986.8779999999,999987.266478197,999948.795,1000030.7327963692,1000002.685,999989.8349858121,10989984.975000001,10989986.370998811,3.1959476076128066
1000643.2799999999,997688.3671622279,1002602,990398.0821487481,1000033.198,999859.9029628442,1000032.92,999872.8166882354,1000018.5580000001,999928.8246814895,1000008.0099999999,999971.3641791973,999987.203,999985.1166747435,999948.881,1000030.114246439,1000002.77,999989.2726454119,10989985.795,10989980.945270745,3.3091760883366756
1002661.5,989998.0131163332,1000658.03,997590.5322799939,1000033.9890000001,999854.6327169642,1000033.83,999866.5878448886,1000019.3720000001,999923.2507435005,1000008.7,999966.6376978395,999987.608,999982.3416920864,999948.779,1000030.2530114582,10989986.344999999,10989977.175908484,1000002.875,999988.5531220098,3.4272590223298236
1000680.2799999999,997437.5079446281,1000034.095,999853.8988023013,1002742.5,989430.2439884787,1000034.75,999859.9788228058,1000020.672,999913.9074333309,1000009.15,999963.4019697536,999988.328,999977.1632471246,999948.627,1000030.4724219734,1000002.97,999987.8697171104,10989986.435,10989976.420532795,3.5971368852684766
1000700.28,997293.1819265838,1000034.15,999853.4994719863,1002854.75,988600.9831547883,1000021.35,999908.720834648,1000035.611,999853.3947634335,1000009.3,999962.2542229185,999989.03,999970.9356760675,999947.562,1000032.5103383347,1000003.06,999987.1809486176,10989986.014999999,10989977.22409228,3.8262233685098344
1000717.0299999999,997164.6680888548,1000034.15,999853.4994719863,1002964.5,987739.7599608786,1000036.5950000001,999845.4025766363,1000009.56,999960.1413355407,1000021.73,999905.6332691056,999988.463,999971.910893765,999945.791,1000036.1076712827,1000003.1649999999,999986.3280520338,10989985.3,10989978.371418925,4.060904124207792
1000736.78,997003.7574301406,1000034.15,999853.4994719863,1003077.5,986796.317995795,1000022.051,999902.8519397209,1000038.686,999827.2981825743,999987.939,999972.4614246478,1000010.6499999999,999950.6942894799,999943.983,1000040.0255594612,1000003.23,999985.7647983381,10989984.76,10989979.281272553,4.332284673077238
1000761.2799999999,996790.6278439598,1003227,985452.6681695136,1000034.15,999853.4994719863,1000040.318,999811.8935582547,1000022.3620000001,999899.9146234342,999987.224,999974.1498578009,1000010.78,999949.4663180896,999941.7170000001,1000045.3749418015,1000003.37,999984.4432668497,10989984.025,10989980.803375212,4.719142468152212
1000780.03,996613.1041069988,1003372,984036.7986830696,1000034.15,999853.4994719863,1000041.849,999796.1954046286,1000022.721,999896.2314434412,1000010.95,999947.7219278351,999985.998,999977.2947433593,999938.413,1000053.8460412602,1000003.43,999983.8282753498,10989982.54,10989984.608228613,5.123075951031334
1000796.53,996443.5625948097,1000034.15,999853.4994719863,1003525.5,982407.5585246308,1000042.803,999785.5184804156,1000023.071,999892.3127692541,999986.052,999975.5559747178,1000003.565,999982.3166982838,1000011.2799999999,999944.0265050794,999937.174,1000057.3149478013,10989982.37,10989984.664215026,5.598522638158542
1000808.78,996306.1011496595,1000034.15,999853.4994719863,1000043.701,999774.6197815859,1003664,980807.3995635202,1000023.471,999887.4561785772,1000011.4,999942.5692844,999984.668,999979.7572827552,999933.0869999999,1000069.7138368743,1000003.63,999981.528501968,10989980.584999999,10989990.074737271,6.0602468071640105
1000034.15,999853.4994719863,1003811,978968.8110924315,1000816.78,996208.9962782915,1000045.413,999752.0248415341,1000024.867,999869.0152144325,1000011.99,999934.7705438422,999983.867,999981.4131193401,999929.703,1000080.8931734819,1000003.7350000001,999980.1418447947,10989980.01,10989987.714057932,6.603120165855256
1000034.15,999853.4994719863,1000047.2010000001,999726.0981655599,1000012.8800000001,999921.8502817734,1000025.379,999861.5851743958,999983.797,999980.0335066414,1003948,977082.463897788,1000844.7799999999,995837.279194336,999927.723,1000088.0804216703,1000003.835,999978.6904011905,10989979.625000002,10989989.002217231,7.2567113904565375
1000025.76,999855.5571509856,1000859.905,995617.1224060104,1000034.15,999853.4994719863,1000013.4500000001,999912.8295972612,999984.088,999973.7052720855,999924.922,1000099.1642356024,1000003.905,999977.583015183,10989979.174999999,10989990.544624817,1004079.25,975110.8704706555,1000049.043,999696.9782760888,7.909108496459197
1000866.78,995508.2238039648,1000026.725,999839.0509588247,1000050.601,999670.3510100273,1004201.25,973125.0066737239,1000013.77,999907.3535354013,1000034.2019999999,999852.6735466903,999984.503,999966.4094094496,999923.9619999999,1000103.272475077,1000004.04,999975.2725183693,10989979.64,10989982.456668317,8.560321145891857
1000878.405,995308.724434295,1000034.8139999999,999842.1197481974,1004329,970862.4776036552,1000051.4630000001,999654.2646108054,1000027.838,999818.2681220835,1000014.05,999902.1224032937,999923.823,1000103.5715449598,999985.123,999954.8233239034,1000004.1000000001,999974.1510190008,10989980.455,10989967.21998308,9.350853304822888
1000887.28,995142.4374569907,1000036.812,999804.5287907466,1004406.0000000001,969388.7209772583,1000052.4530000001,999634.6890675089,1000028.624,999802.7171440148,1000014.32,999896.7783621838,999986.118,999935.1230834046,999924.008,1000099.9069838217,10989981.215,10989952.160582548,1000004.24,999971.3775353731,9.910718907132575
1000893.78,995013.4188777482,1000039.0210000001,999760.5395328003,1004475.2499999999,967987.6205035349,1000053.583,999611.1323379569,1000029.1379999999,999791.9954964003,999987.313,999910.176597248,1000014.79,999886.9713275441,999924.1549999999,1000096.836559502,1000004.305,999970.0197587395,10989982.014999999,10989935.446104508,10.45018500517068
1000901.28,994856.4099232445,1000041.542,999707.5619845681,1000054.7159999999,999586.1913035371,1004544,966519.2762775322,1000029.51,999783.801776989,1000014.9199999999,999884.1073768407,999989.033,999872.2677074425,999924.3319999999,1000092.9323446167,1000004.425,999967.3725554628,10989983.309999999,10989906.868652299,11.040097678730131
1000907.405,994720.9849264134,1000043.8369999999,999656.6552192887,1000055.883,999559.0636511488,1000029.86,999775.6608817766,1004612.25,964980.5253056933,1000015.0900000001,999880.1524519903,999989.608,999858.8879952753,999924.49,1000089.2547478189,1000004.51,999965.393922553,10989983.725000001,10989897.20699336,11.642732255865099
1000913.78,994572.3263239696,1004680.5,963357.0925909341,1000045.9500000001,999607.2166725671,1000057.036,999530.7709583531,1000030.173,999767.975766213,1000015.1599999999,999878.433461375,999990.1229999999,999846.2392334427,999924.643,1000085.4959394103,1000004.595,999963.305508145,10989983.895,10989893.02983839,12.286709263747547
1000047.517,999568.3494701152,1000058.163,999501.5816061293,1004741.4999999999,961821.3950244307,1000926.78,994251.9152443149,1000030.5,999759.5013403124,1000015.27,999875.582227843,999990.712,999830.9692857222,999924.813,1000081.0872646854,1000004.7100000001,999960.3228520267,10989984.13,10989886.934182629,12.970905925597316
1000934.78,994043.991735233,1004803.2500000001,960184.9716132904,1000059.2930000001,999470.7478359705,1000030.85,999749.9451270447,1000049.116,999526.6193243017,1000015.41,999871.7589785729,999991.233,999816.7386247389,1000004.7749999999,999958.5467758055,999924.963,1000076.9889832258,10989984.450000001,10989878.18948636,13.665669061338775
1000941.28,993866.0627944217,1004862.25,958539.8958254436,1000050.738,999482.0644042515,1000060.456,999437.3855069886,1000031.1919999999,999740.1280319698,1000015.49,999869.4621575847,999991.5430000001,999807.8374312578,1000004.91,999954.6692376528,999925.1420000001,1000071.8482681311,10989984.780000001,10989868.70968349,14.365631797057997
1000948.78,993650.1865008167,1004920.75,956823.6760419715,1000031.578,999728.4689589655,1000052.2919999999,999437.1552525061,1000061.373,999409.7027817257,1000015.61,999865.8367796021,999991.7320000001,999802.1268580445,999925.2760000001,1000067.798991721,1000004.975,999952.704875419,10989985.03,10989861.153737443,15.113751973311818
1000955.28,993453.3928634041,1000053.597,999397.5057568683,1004978.75,955034.7531181115,1000032.1610000001,999709.9496452337,1000062.306,999380.083682349,1000016.26,999845.1797876334,999991.808,999799.4961552215,999925.222,1000067.9420561029,1000005.1,999948.7307822363,10989984.875,10989861.551165663,15.896651285353263
1000961.28,993262.3460933774,1005035,953210.8475490588,1000063.681,999334.207370197,1000054.8720000001,999356.7731585865,1000032.602,999695.223911632,1000016.5,999837.163494437,999991.718,999796.2391092468,999924.983,1000069.9380155427,1000005.1699999999,999946.3925202859,10989984.57,10989861.592920741,16.701159158457767
1000055.1179999999,999348.4601733291,1000033.068,999678.688513517,1005096.75,951090.4399223049,1000065.13,999282.8363871939,1000976.405,992755.1839776966,1000017.1299999999,999814.7997019342,999990.503,999806.7572121408,999923.617,1000082.0567380437,1000005.265,999943.0223920069,10989983.33,10989872.58895415,17.729830994882246
1000984.405,992470.9165609137,1005186.25,947820.8541302026,1000055.1259999999,999348.1747226216,1000066.0210000001,999248.7274125214,1000033.76,999652.1801371076,1000017.65,999794.8700098584,999988.563,999825.3458291497,999920.178,1000114.9763250347,1000005.37,999939.0055369147,10989981.065,10989894.245965747,19.11167429546957
1000989.905,992260.3803103789,1000055.1259999999,999348.1747226216,1005279.4999999999,944149.713587857,1000066.921,999211.4822733601,1000034.689,999613.7062190055,1000017.84,999786.9968839956,999986.143,999850.4098373818,999914.952,1000169.0278432766,1000005.4349999999,999936.3201899137,10989977.965000002,10989926.251176234,20.63108860407143
1000997.2799999999,991955.4592577412,1005408.5,938599.301379992,1000055.1259999999,999348.1747226216,1000068.154,999154.5390189213,1000036.502,999529.8755709055,999983.757,999878.0134581802,1000017.98,999780.5165725219,999909.797,1000228.5823173057,1000005.57,999930.0905481583,10989975.715,10989950.817856774,23.05291147830369
1001009.2799999999,991400.3083751318,1005510.5,933707.0554341575,1000055.1259999999,999348.1747226216,1000069.819,999069.8862632224,1000036.971,999506.0039951169,1000018.11,999773.89765474,999981.024,999912.3317048807,999903.632,1000306.8967915068,1000005.63,999927.0472292771,10989972.61,10989990.174378643,25.327516977201928
1000055.1259999999,999348.1747226216,1005621.75,927852.2613357299,1001015.28,991095.8467161887,1000071.215,998991.4618903298,1000037.393,999482.2739515025,1000018.1799999999,999769.9603073222,999978.944,999937.3977461831,999895.8849999999,1000415.6150283689,1000005.7649999999,999919.486423566,10989970.215,10990023.698609397,27.975049078578873
1001038.03,989814.2268209234,1000055.1259999999,999348.1747226216,1005741.25,920771.8089651006,1000072.5959999999,998903.4643018325,1000037.8130000001,999455.4847426078,1000018.74,999734.2256646287,999976.543,999974.2642916781,999889.468,1000517.8041258708,1000005.835,999915.0363541358,10989968.15,10990056.508704817,31.756803035425627
1001047.155,989233.0059366234,1000055.1259999999,999348.1747226216,1005867.5,912350.6531541022,1000073.671,998825.8173932217,1000038.1900000001,999428.2316620699,1000019.09,999708.9152657517,999973.853,1000022.8861664123,999882.436,1000644.650532945,1000005.9450000001,999907.1173365309,10989966.254999999,10990090.606391309,35.9647963719994
1001053.1549999999,988800.5834692088,1000055.1259999999,999348.1747226216,1005967,904910.0040896265,1000074.756,998739.2038860944,1000038.563,999398.4302262368,1000019.24,999696.9271508853,999973.124,1000018.2705934736,999875.898,1000775.1233307212,1000006.04,999899.5504754841,10989964.785,10990119.872827312,39.79858757416722
1001060.53,988212.0941235232,1006064.75,896803.9785530306,1000055.1259999999,999348.1747226216,1000076.3049999999,998601.918630347,1000039.01,999358.764354116,1000019.3800000001,999684.4993516458,999972.118,1000035.9346634188,999870.5719999999,1000893.1645473195,1000006.12,999892.471208489,10989963.97,10990137.901281515,44.22905129069311
1000077.271,998506.1285236367,1000039.4,999320.0588248109,1000055.1379999999,999347.1058470461,1001067.1549999999,987624.7042856899,1000019.9700000001,999625.9157892731,999971.708,1000037.2508039579,1006166.25,887430.990549741,1000006.25,999879.5840455312,999866.978,1000982.3463602369,10989963.72,10990144.097335327,49.56395061556385
1001073.53,986991.3041567513,1000055.189,999342.0151418507,1006266.7500000001,877019.7961974405,1000078.768,998339.2325518206,1000020.65,999549.96211497,1000039.8400000001,999270.941172197,999972.167,999982.5095192983,999865.693,1001018.2580144343,1000006.3150000001,999872.321210147,10989963.98,10990114.6226308,55.88725728036615
1001086.155,985573.4139632132,1000055.493,999307.5435167475,1000079.791,998211.7391178947,1006349.0000000001,867391.5399612773,1000040.328,999210.0629997945,1000021.36,999461.3310242519,999972.8879999999,999892.4299682489,1000006.44,999856.6944619458,999865.634,1001013.914002516,10989965,10989987.045054784,62.5879031480479
1001095.03,984458.6107296591,1000040.95,999124.5945034178,1000080.863,998064.6006989784,1000055.972,999246.945183095,1006417.2500000001,858516.3030074339,1000022.1,999359.5668311631,999974.4330000001,999679.7032925918,999865.802,1000990.7521230452,1000006.515,999846.352620847,10989965.61,10989902.90558997,69.00076365941906
1001105.03,983072.9980958275,1006477,849952.6832734382,1000056.9369999999,999112.0961110104,1000081.992,997894.666927776,1000041.478,999045.0293550467,1000022.46,999305.2858960149,999976.328,999393.663265798,999866.0070000001,1000959.7569845077,1000006.625,999829.7174803956,10989966.209999999,10989812.137457514,75.67793148920023
1001112.532,981933.9658875222,1000083.1520000001,997703.0567883666,1000058.4619999999,998878.9539289459,1006537,840531.7556405073,1000041.9419999999,998968.2936929204,1000022.5800000001,999285.4315367583,999866.344,1000903.8844767824,999977.7329999999,999161.0375315758,1000006.715,999814.7911408545,10989966.66,10989737.485553365,82.97864256962147
1001119.1549999999,980831.693389142,1006596.5,830290.7413902135,1000084.38,997480.4422999878,1000042.289,998905.3106864304,1000059.9400000001,998631.4069355307,1000022.87,999232.7714976453,999978.528,999016.588427936,999866.543,1000867.698109035,1000006.815,999796.6030229838,10989966.935,10989687.4576983,90.98191150566346
1001125.53,979668.3868137683,1006656,819053.0138053832,1000061.398,998363.6704936237,1000085.482,997260.8814834129,1000042.602,998842.8772771385,1000023.0199999999,999202.8407177703,999980.193,998684.0580568041,999866.747,1000826.8897610315,1000006.92,999775.593795164,10989967.19,10989636.424429158,100.08859067788606
1001139.53,976847.8334007566,1000086.64,997003.5424568704,1006715.5,806543.2969779763,1000062.8659999999,998063.8980297896,1000042.94,998767.6699566632,1000023.15,999173.9037670792,999981.708,998346.547169587,999866.901,1000792.5298704567,1000007.015,999754.393703817,10989967.440000001,10989580.623060832,111.62922912874768
1001148.1630000001,974912.5109464925,1000064.378,997721.9055252878,1006774.5,792792.0480439613,1000087.732,996734.14099293,1000043.28,998683.6863820319,1000023.2200000001,999156.6066606942,999982.308,998198.2323463247,999867.091,1000745.5314275378,1000007.115,999729.6518460363,10989967.65,10989528.654689068,123.7597612556783
1001154.532,973331.1086828767,1000065.859,997351.5980768525,1006834.25,777375.9092900667,1000088.931,996405.7916176773,1000043.62,998590.4467575502,1000023.3099999999,999131.9159138039,999982.853,998048.6609858917,999867.2479999999,1000702.4165493093,1000007.215,999702.184352955,10989967.895,10989461.34408557,137.4028457590187
1001162.036,971261.0587364588,1006894.4999999999,760057.2636588117,1000067.2980000001,996951.2972383718,1000089.8879999999,996113.0661681042,1000043.9909999999,998476.8290157593,1000023.455,999087.48925749,999983.158,997955.1824446073,999867.4130000001,1000651.8254889012,1000007.295,999677.6500414957,10989968.15,10989383.123821756,153.41439111262937
1006954.25,740905.9090078783,1000090.837,995788.8113535285,1000044.379,998344.0908679398,1000068.5270000001,996570.3514867941,1000023.93,998924.8762079506,999983.257,997921.2709692534,1001168.0360000001,969414.2318230029,999867.331,1000655.7650527164,1000007.4149999999,999636.5404225672,10989968.12,10989379.269293126,171.31191397598062
1001174.532,967180.5921869527,1007011.5000000001,720408.6610012547,1000091.747,995441.620760032,1000069.2980000001,996303.2358599072,1000044.957,998123.2667922039,1000024.4450000001,998727.9341103166,999983.304,997808.85812458,999867.068,1000668.5871837215,1000007.48,999611.6638549982,10989967.760000002,10989396.491336247,191.32337839432168
1001187.53,962169.9005286482,1007066,698397.4220529624,1000069.3289999999,996291.1071941034,1000045.508,997885.9169435811,1000092.667,995045.8799952703,999983.573,997542.1005543513,1000024.61,998656.8050589252,999865.5950000001,1000827.4376789267,1000007.615,999553.4755677755,10989966.515,10989530.61969002,215.3086025053165
1001197.163,957998.0000376872,1000069.3289999999,996291.1071941034,1000093.5279999999,994627.3020131189,1007123.75,672200.4752079048,1000046.02,997636.6636958537,1000024.76,998583.728797274,999982.429,997670.4508563459,1000007.68,999521.9243155045,999862.522,1001201.0402231116,10989964.38,10989789.554757647,242.24410794721106
1001202.655,955328.1866637026,1007180.2499999999,643550.9894678039,1000069.3289999999,996291.1071941034,1000094.5120000001,994092.014667224,1000046.48,997386.0395167228,1000024.9349999999,998488.3159229904,999981.289,997772.2599739558,999857.636,1001865.4907019129,1000007.7949999999,999459.5586093826,10989961.479999999,10990182.424762247,270.4455167417399
1001210.538,951042.8757755496,1000069.3289999999,996291.1071941034,1007232,614164.4258922704,1000096.603,992821.7008952424,1000047.527,996747.7699744578,1000025.13,998369.2603845539,999980.5830000001,997812.2533618892,999851.252,1002837.5732776227,1000007.88,999408.0021669236,10989958.524999999,10990630.125245068,302.42333675010326
1001219.03,945877.672662444,1000069.3289999999,996291.1071941034,1000098.235,991697.8574201196,1007288,578395.5736987756,1000048.243,996253.3613645616,1000025.57,998065.0425189445,999979.432,997881.5871143071,999846.471,1003662.3507365838,1000007.9600000001,999352.9763335551,10989955.35,10991175.551168883,342.8294422706276
1001228.536,939317.1535541124,1000069.3289999999,996291.1071941034,1007339,541440.356063384,1000099.7660000001,990506.4568459037,1000048.9,995740.7356534828,1000025.8450000001,997850.2295186545,999976.612,998431.9514428702,999839.6170000001,1004994.064487447,1000008.085,999256.2916480888,10989952.27,10991770.58413431,385.5422434616874
1000069.3289999999,996291.1071941034,1007389.5,499819.3414466325,1001242.5380000001,928412.2943520735,1000100.72,989660.6599199255,1000049.3099999999,995376.6121100436,1000026.725,997067.7084636339,999974.348,998935.4895085302,999832.274,1006620.0531009936,1000008.15,999199.0281257469,10989949.649999999,10992347.122154076,439.25591962040875
1001257.0299999999,915543.5155942191,1007442.75,449518.7770628287,1000069.3289999999,996291.1071941034,1000049.73,994946.0756489735,1000101.6179999999,988741.7125228791,1000027.43,996344.1551663136,999973.998,998762.6232428957,1000008.29,999056.2799597484,999825.6229999999,1008324.012610774,10989947.72,10992838.833383787,508.78678424650406
1001270.0299999999,902181.0721801701,1007496.75,390401.6058387094,1000069.3289999999,996291.1071941034,1000050.4469999999,994088.103603315,1000103.33,986700.0000879853,1000027.73,995984.6636272348,999972.897,999030.4627704379,999819.89,1010036.1602601297,1000008.35,998984.934131622,10989946.32,10993254.821803946,593.5954663735964
1001284.911,884299.0031001864,1007553,317811.96987328964,1000069.3289999999,996291.1071941034,1000105.118,984165.67748934,1000050.959,993359.8373239189,1000028.335,995122.9070553125,999971.983,999205.430756741,999815.588,1011565.3280231942,1000008.485,998793.6743711156,10989945.59,10993502.731991656,707.8777038362296
1001298.1630000001,865321.8603119388,1000069.3369999999,996279.3877044286,1000051.4,992600.9246003845,1007612.2500000001,226313.18664398513,1000106.96,981007.7271985341,1000028.875,994192.4153621731,999972.157,998225.762187272,999812.678,1012819.9810569524,1000008.56,998664.6638757127,10989945.805,10992829.430335147,860.9725234372102
