household0,,household1,,household2,,household3,,household4,,household5,,household6,,household7,,household8,,household9,,poolPrice
ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,
1000023.75,999952.3869189325,1000060.25,999877.8368128558,1000001.7339999999,999996.506585165,1000001.199,999997.5390562073,1000000.3099999999,999999.363552139,1000000.291,999999.40248001,1000000.14,999999.7125498967,1000000.173,999999.6447462819,1000000.0650000001,999999.866517635,10990000.18,10989999.630344966,1.0268568307847594
1000041.75,999915.3528191922,1000003.447,999992.9687368736,1000119.75,999754.1654080487,1000002.3189999999,999995.1826817214,1000000.6610000001,999998.6248865838,1000000.541,999998.87628991,1000000.2899999999,999999.3968534988,1000000.321,999999.3332212096,1000000.2000000001,999999.582343793,10990000.405000001,10989999.156698048,1.0525968912007553
1000056.25,999884.7824171215,1000180.25,999625.374749907,1000005.173,999989.3184120898,1000003.5,999992.6371058174,1000001.01,999997.8724285308,1000000.35,999999.2674810278,1000000.793,999998.3329048039,1000000.471,999999.0097560021,1000000.265,999999.4421702898,10990000.620000001,10989998.693030825,1.07834341404765
1000073.5,999847.5136411838,1000239.5,999496.0550599472,1000006.904,999985.5646489739,1000004.484,999990.4628853849,1000001.35,999997.1209942291,1000000.4500000001,999999.0464531151,1000001.0210000001,999997.8289388614,1000000.635,999998.6472309446,1000000.385,999999.1768957649,10990001.010000002,10989997.830832455,1.1054716809917409
1000087.75,999815.9612053252,1000008.5929999999,999981.8131612922,1000299.5,999361.9069995537,1000005.3759999999,999988.4434205092,1000001.473,999996.8046978834,1000001.2999999999,999997.1207682961,1000002.643,999994.1927367621,1000000.6,999998.61267089,1000000.4700000001,999998.9842643059,10990001.475,10989996.623967458,1.1333270885829874
1000103,999781.339678744,1000362.25,999217.9640817654,1000010.527,999977.4075956609,1000006.267,999986.3723819964,1000001.5099999999,999996.6324644014,1000003.1499999999,999993.0139833702,1000001.173,999996.7087775418,1000000.296,999998.7893913334,10990001.095,10989996.68791085,1000000.5449999999,999998.8098733311,1.1625716572140927
1000126.25,999727.1476107944,1000010.739,999976.9110241302,1000432.2499999999,999052.7755740763,1000003.51,999992.1515193506,1000007.213,999984.1065601554,1000001.68,999996.2251512269,999999.828,999997.5143905923,999998.8679999999,999999.6445317864,1000000.67,999998.5104958307,10989999.77,10989997.481226481,1.197289108970667
1000150,999670.1326182545,1000520.0000000001,998839.0586109312,1000010.747,999976.8917219702,1000008.104,999981.895382333,1000003.968,999991.0146358492,1000001.8999999999,999995.6789833192,999998.144,999998.5408942121,999995.4199999999,1000001.7836446041,1000000.73,999998.3616558439,10989997.38,10989998.96325358,1.2398717917884055
1000174.625,999608.9070532781,1000009.0040000001,999979.5740563375,1000010.773,999976.8267347944,1000616.75,998594.684678192,1000004.701,999989.1235237254,1000002.36,999994.4919520955,999995.878,1000000.0027150919,999990.273,1000005.1022818636,1000000.865,999998.0136691416,10989994.305,10990000.944571484,1.2882313530635412
1000206.5,999526.4967943076,1000727.7499999999,998302.1582013501,1000010.857,999976.6080474819,1000005.53,999986.8841319436,1000010.237,999976.2445440008,1000002.77,999993.3841591896,999993.448,1000001.6055691558,999983.727,1000009.5210347767,1000000.9299999999,999997.8382865756,10989992.515,10990001.94956922,1.3487387744357726
1000240.53,999434.3557640752,1000819,998050.6505025069,1000011.249,999975.5386073823,1000011.902,999971.5608358025,1000006.6479999999,999983.7375902827,1000003.01,999992.7085069375,999990.7220000001,1000003.5239504997,999976.253,1000014.7769485181,1000001.05,999997.5010153725,10989989.34,10990004.18014177,1.404586634548615
1000276.2799999999,999333.5250735626,1000011.728,999974.1767082223,1000911,997786.3186621706,1000013.298,999967.4655839035,1000007.112,999982.3759152517,1000003.22,999992.0921520854,999988.647,1000005.0243768712,999971.335,1000018.3834589894,1000001.13,999997.2664788124,10989987.085,10990005.832710458,1.4653185074322617
1000308.28,999239.4035596092,1001026.75,997438.8130138172,1000011.739,999974.1441185314,1000007.5,999981.1793716421,1000014.679,999963.2082971865,1000003.48,999991.2902488054,999986.824,1000006.379071392,999965.632,1000022.7782704436,1000001.215,999997.0046395119,10989984.805,10990007.588377962,1.539655106940656
1000340.286,999140.4827854781,1000011.767,999974.0569389107,1000015.754,999959.656313515,1001197.25,996897.2825714739,1000007.888,999979.8969698816,1000004.0800000001,999989.3068316849,999985.5179999999,1000007.3369610889,999960.2779999999,1000027.2011907258,1000001.335,999996.6083576505,10989982.870000001,10990009.18575236,1.6506568049342951
1000368.2799999999,999047.7601859561,1000011.907,999973.5901517984,1001331.75,996441.5778825862,1000016.839,999955.8609802825,1000008.26,999978.5953156259,1000004.6,999987.4870388341,999984.4280000001,1000008.0308024704,999955.346,1000031.514691178,1000001.4,999996.3810958522,10989981.315,10990010.544847142,1.7477057907266733
1000395.03,998953.9569094448,1000012.017,999973.2019299379,1001487.7500000001,995880.4592370208,1000018.3879999999,999950.0750455515,1000008.709,999976.9174491373,1000005.25,999985.0575948302,999983.292,1000009.0643440172,999950.87,1000035.6957249518,1000001.5399999999,999995.858277681,10989980.33,10990011.464423003,1.866933633044548
1000012.138,999972.7472068894,1001636.25,995312.0019278652,1000019.354,999946.2392961748,1000412.53,998888.4737418925,1000009.073,999975.4716789309,999982.5920000001,1000009.7596623536,999947.658,1000038.88532209,1000001.605,999995.6001927735,10989980.015,10990011.687765364,1000006.03,999981.9589309948,1.9851946262175513
1000433.03,998806.8714668446,1001786.25,994700.213816052,1000012.6510000001,999970.6945257138,1000020.851,999939.8982574574,1000011.971,999963.1869891534,1000006.23,999981.1104760243,999982.652,1000009.4892013307,999947.2670000001,1000039.3000252516,1000001.735,999995.048687801,10989980.56,10990009.375448717,2.1216872301442518
1000456.53,998706.8514725026,1000013.404,999967.469990018,1000021.874,999935.2651043274,1001930.4500000001,994070.9493020936,1000013.638,999955.633502298,1000006.56,999979.6144680715,999982.968,1000008.0564774969,999947.308,1000039.0154951711,1000001.81,999994.7086037335,10989981.245,10990006.269008279,2.2678811508795618
1000476.28,998617.038120434,1000014.8920000001,999960.6669090338,1002049,993520.1658841171,1000022.946,999930.1264994371,1000014.991,999949.1449078143,1000006.7699999999,999978.6069776829,999984.123,1000002.5141168061,999947.4859999999,1000038.1610644773,1000001.9099999999,999994.2285573061,10989981.985000001,10990002.716219466,2.4010067105326014
1000493.78,998532.8063346948,1000017.081,999950.0783316902,1002116.25,993191.722482984,1000024.075,999924.5116540386,1000015.645,999945.891097548,1000006.93,999977.8107807859,999984.8380000001,999998.9556149553,999947.6440000001,1000037.3745416993,1000002.015,999993.7058384207,10989982.7,10989999.15630838,2.4899287944114032
1000513.5299999999,998434.1912729156,1000020.622,999932.2944887328,1002181.25,992862.060926466,1000025.235,999918.5230420869,1000016.1699999999,999943.1796808327,1000007.07,999977.0876187669,999985.223,999996.9667387005,999947.803,1000036.5530573693,1000002.1050000001,999993.2408213668,10989983.360000001,10989995.745791866,2.5841907000647475
1000533.78,998329.2411222019,1000023.247,999918.6094118706,1000026.4630000001,999911.9394366309,1002247,992515.9157200519,1000016.513,999941.3400625875,1000007.21,999976.3366683616,999985.5229999999,999995.3574301163,999947.982,1000035.5927330756,1000002.215,999992.6506397285,10989983.805,10989993.35801916,2.683221111581054
