household0,,household1,,household2,,household3,,household4,,household5,,household6,,household7,,household8,,household9,,poolPrice
ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,
1000023.75,999976.1787500001,1000001.7339999999,999998.260798,1000060.25,999939.5692500001,1000000.3099999999,999999.68907,1000001.199,999998.797403,1000000.14,999999.85958,1000000.291,999999.708127,1000000.173,999999.826481,1000000.0650000001,999999.934805,10990000.18,10989999.81946,1.0178016458586983
1000041.75,999958.1247500001,1000003.447,999996.542659,1000119.75,999879.89075,1000002.3189999999,999997.6740430001,1000000.6610000001,999999.337017,1000000.2899999999,999999.70913,1000000.541,999999.457377,1000000.2000000001,999999.7993999999,1000000.321,999999.6780369999,10990000.405000001,10989999.593785001,1.0345743770596998
1000056.25,999943.5812499999,1000005.173,999994.811481,1000180.25,999819.2092500001,1000003.5,999996.4895,1000001.01,999998.98697,1000000.35,999999.6489500001,1000000.793,999999.2046210001,1000000.471,999999.527587,1000000.265,999999.734205,10990000.620000001,10989999.378139999,1.05108130470158
1000006.904,999993.075288,1000239.5,999759.7815,1000004.484,999995.502548,1000001.35,999998.64595,1000000.4500000001,999999.54865,1000073.5,999926.2795000001,1000001.0210000001,999998.975937,1000000.635,999999.363095,1000000.385,999999.613845,10990001.010000002,10989998.986970002,1.068191708698002
1000087.75,999911.98675,1000299.5,999699.6015,1000008.5929999999,999991.3812210001,1000005.3759999999,999994.607872,1000002.643,999997.349071,1000001.473,999998.522581,1000001.2999999999,999998.6961000001,1000000.4700000001,999999.52859,1000000.6,999999.3977986012,10990001.475,10989998.520035807,1.0854555168996214
1000103,999896.6910000001,1000010.527,999989.4414189999,1000362.25,999636.66325,1000006.267,999993.7141989999,1000003.1499999999,999996.84055,1000001.5099999999,999998.4854700001,1000001.173,999998.8207550828,1000000.296,999999.7008893291,1000000.5449999999,999999.4533650001,10990001.095,10989998.898360025,1.1031634543635482
1000126.25,999873.37125,1000007.213,999992.765361,1000010.739,999989.228783,1000432.2499999999,999566.45325,1000003.51,999996.47947,1000001.68,999998.31496,999999.828,1000000.1617321515,999998.8679999999,1000001.1246181426,1000000.67,999999.32799,10989999.77,10990000.219396913,1.1235060803102024
1000150,999849.55,1000010.747,999989.220759,1000520.0000000001,999478.4400000001,1000008.104,999991.8716879999,1000003.968,999996.0200959999,1000001.8999999999,999998.0943000001,999998.144,1000001.840635352,999995.4199999999,1000004.5623050816,1000000.73,999999.26781,10989997.38,10990002.602248361,1.1476252066687354
1000174.625,999824.851125,1000010.773,999989.194681,1000616.75,999381.39975,1000009.0040000001,999990.968988,1000004.701,999995.2848970001,1000002.36,999997.63292,999995.878,1000004.099857685,999990.273,1000009.6939102663,1000000.865,999999.1324049999,10989994.305,10990005.668050952,1.1740789450335134
