household0,,household1,,household2,,household3,,household4,,household5,,household6,,household7,,household8,,household9,,poolPrice
1000206.5,999792.8805000001,1000727.7499999999,999270.0667500001,1000010.857,999989.110429,1000010.237,999989.7322890001,1000005.53,999994.45341,1000002.77,999997.22169,999993.448,1000006.5224756601,999983.727,1000016.220331004,1000000.9299999999,999999.06721,10989992.515,10990007.452097911,1.2064406924517463
1000240.53,999758.74841,1000819,999178.5430000001,1000011.902,999988.0622940001,1000011.249,999988.717253,1000003.01,999996.98097,999990.7220000001,1000009.2403221206,1000006.6479999999,999993.3320559999,999976.253,1000023.6719760688,1000001.05,999998.94685,10989989.34,10990010.6176014,1.2349467847107813
1000276.2799999999,999722.89116,1000011.728,999988.2368160001,1000013.298,999986.662106,1000911,999086.267,1000007.112,999992.866664,1000003.22,999996.7703399999,999988.647,1000011.3090558295,999971.335,1000028.5752661984,1000001.13,999998.8666099999,10989987.085,10990012.865856634,1.2656563928001103
1000308.28,999690.79516,1000011.739,999988.225783,1001026.75,998970.16975,1000014.679,999985.276963,1000007.5,999992.4775,1000003.48,999996.5095599999,999986.824,1000013.1264713848,999965.632,1000034.261208372,1000001.215,999998.7813550001,10989984.805,10990015.139037093,1.302234111828152
1000340.286,999658.693142,1000011.767,999988.1976989999,1001197.25,998799.15825,1000015.754,999984.198738,1000007.888,999992.088336,1000004.0800000001,999995.90776,999985.5179999999,1000014.4282715434,999960.2779999999,1000039.5991944137,1000001.335,999998.660995,10989982.870000001,10990017.068249458,1.3554732846922908
1000368.2799999999,999630.6151599999,1001331.75,998664.25475,1000011.907,999988.057279,1000016.839,999983.110483,1000008.26,999991.7152199999,1000004.6,999995.3862,999984.4280000001,1000015.5144182123,999955.346,1000044.516442669,1000001.4,999998.5958,10989981.315,10990018.61859841,1.3999269001405217
1000395.03,999603.78491,1001487.7500000001,998507.78675,1000012.017,999987.946949,1000008.709,999991.264873,1000018.3879999999,999981.5568360001,999983.292,1000016.6469604955,1000005.25,999994.73425,999950.87,1000048.9790548325,1000001.5399999999,999998.45538,10989980.33,10990019.600652248,1.452678565140516
1000412.53,999586.2324099999,1001636.25,998358.8412499999,1000012.138,999987.825586,1000019.354,999980.5879380001,1000009.073,999990.899781,1000006.03,999993.9519100001,999982.5920000001,1000017.3448667767,999947.658,1000052.181447654,1000001.605,999998.3901849999,10989980.015,10990019.914530344,1.5030899977824066
1000433.03,999565.6709100001,1001786.25,998208.39125,1000020.851,999979.086447,1000012.6510000001,999987.311047,1000011.971,999987.993087,1000006.23,999993.75131,999982.652,1000017.2846568215,999947.2670000001,1000052.5712781625,1000001.735,999998.259795,10989980.56,10990019.367895344,1.5595010292151383
1000456.53,999542.1004100001,1000013.638,999986.3210860001,1000013.404,999986.555788,1001930.4500000001,998063.75865,1000021.874,999978.060378,1000006.56,999993.42032,999982.968,1000016.9677088215,999947.308,1000052.5299814227,1000001.81,999998.18457,10989981.245,10990018.680840343,1.6173568511777203
1000476.28,999522.29116,1002049,997944.853,1000022.946,999976.985162,1000014.8920000001,999985.063324,1000014.991,999984.9640269999,1000006.7699999999,999993.20969,999947.4859999999,1000052.3514474228,999984.123,1000015.8092438215,1000001.9099999999,999998.08427,10989981.985000001,10990017.938620344,1.6678785137176686
1000493.78,999504.73866,1000017.081,999982.867757,1002116.25,997877.40125,1000024.075,999975.852775,1000015.645,999984.308065,1000006.93,999993.04921,999984.8380000001,1000015.0920988215,999947.6440000001,1000052.1929734227,1000002.015,999997.978955,10989982.7,10990017.221475342,1.700529809442538
1000020.622,999979.316134,1000513.5299999999,999484.92941,1002181.25,997812.20625,1000025.235,999974.689295,1000016.1699999999,999983.78149,1000007.07,999992.9087899999,999985.223,1000014.7059438215,999947.803,1000052.0334964227,1000002.1050000001,999997.888685,10989983.360000001,10990016.559495343,1.734301617027443
1000533.78,999464.61866,1000023.247,999976.683259,1002247,997746.259,1000026.4630000001,999973.457611,1000016.513,999983.437461,1000007.21,999992.76837,999947.982,1000051.8539594228,1000002.215,999997.7783550001,10989983.805,10990016.113160344,999985.5229999999,1000014.4050438215,1.7689124917435546
1000554.78,999443.55566,1000025.0889999999,999974.835733,1000027.565,999972.352305,1000016.83,999983.1195100001,1000007.31,999992.66807,999985.822,1000014.1051468215,999948.13,1000051.7055154227,1002312.25,997680.81325,1000002.3,999997.6931,10989984.025,10990015.892500343,1.8040136511758031
1000576.78,999421.48966,1002370.25,997622.63925,1000026.758,999973.161726,1000028.7230000001,999971.190831,1000017.1290000001,999982.8196129999,1000007.37,999992.60789,999986.093,1000013.8333338216,999948.314,1000051.5209634227,1000002.395,999997.597815,10989984.28,10990015.636735344,1.837446288637311
1000595.03,999403.1849100001,1000028.4550000001,999971.459635,1000029.815,999970.095555,1002429,997563.713,1000007.46,999992.5176199999,1000017.462,999982.4856139999,999986.343,1000013.5825838215,999948.4650000001,1000051.3695104227,1000002.495,999997.497515,10989984.540000001,10990015.375955345,1.8704403500264686
1000610.53,999387.63841,1000030.154,999969.755538,1002486,997506.542,1000031.014,999968.892958,1000017.777,999982.1696690001,1000007.61,999992.3671700001,999986.582,1000013.3428668216,999948.642,1000051.1919794227,1000002.58,999997.41226,10989984.75,10990015.165325345,1.9023549569585583
1000626.53,999371.59041,1002544.25,997448.11725,1000031.9709999999,999967.933087,1000031.814,999968.0905579999,1000018.11,999981.83567,1000007.7899999999,999992.18663,999986.8779999999,1000013.0459788216,999948.795,1000051.0385204226,1000002.685,999997.3069450001,10989984.975000001,10990014.939650346,1.9356696442405552
1000643.2799999999,999354.79016,1000033.198,999966.7024059999,1002602,997390.194,1000018.5580000001,999981.386326,1000032.92,999966.98124,1000008.0099999999,999991.96597,999987.203,1000012.7200038215,999948.881,1000050.9522025124,1000002.77,999997.22169,10989985.795,10990014.117190344,1.9700475498018937
1000658.03,999339.99591,1002661.5,997330.5155,1000033.9890000001,999965.909033,1000033.83,999966.0685099999,1000019.3720000001,999980.5698840001,1000008.7,999991.2738999999,999987.608,1000012.3137888215,999948.779,1000051.0538554905,1000002.875,999997.116375,10989986.344999999,10990013.565540344,2.005056892166533
1000034.095,999965.802715,1002742.5,997249.2725,1000680.2799999999,999317.6791599999,1000034.75,999965.14575,1000020.672,999979.2659839999,999988.328,1000011.5916288216,1000009.15,999990.82255,999948.627,1000051.2053409442,1000002.97,999997.0210899999,10989986.435,10990013.475150524,2.0540784025609233
1000700.28,999297.61916,1002854.75,997136.6857500001,1000021.35,999978.5859500001,1000034.15,999965.74755,1000035.611,999964.282167,1000009.3,999990.6721,999989.03,1000010.8866301585,999947.562,1000052.2671555006,1000003.06,999996.93082,10989986.014999999,10990013.893894292,2.117566212836865
1000717.0299999999,999280.81891,1000034.15,999965.74755,1000036.5950000001,999963.295215,1002964.5,997026.6065,1000021.73,999978.20481,1000009.56,999990.41132,999988.463,1000011.4517605065,999945.791,1000054.0328583919,1000003.1649999999,999996.825505,10989985.3,10990014.606456157,2.1796342756719818
1000034.15,999965.74755,1000736.78,999261.00966,1000038.686,999961.197942,1003077.5,996913.2675,1000022.051,999977.882847,1000010.6499999999,999989.31805,999987.939,1000011.973654016,999943.983,1000055.8354506152,1000003.23,999996.76031,10989984.76,10990015.144601362,2.248580043801315
1000034.15,999965.74755,1000022.3620000001,999977.570914,1000761.2799999999,999236.4361599999,1000010.78,999989.18766,1000040.318,999959.561046,999987.224,1000012.6865154317,1003227,996763.319,999941.7170000001,1000058.0946729481,10989984.025,10990015.877223225,1000003.37,999996.6198900001,2.3422559649704238
1000780.03,999217.62991,1000034.15,999965.74755,1003372,996617.884,1000041.849,999958.025453,1000022.721,999977.2108369999,1000010.95,999989.01715,999985.998,1000013.9088484327,1000003.43,999996.55971,999938.413,1000061.3887905951,10989982.54,10990017.35778155,2.434019753778618
1000796.53,999201.08041,1003525.5,996463.9235,1000034.15,999965.74755,1000011.2799999999,999988.6861599999,1000042.803,999957.0685909999,1000023.071,999976.859787,999986.052,1000013.853877644,999937.174,1000062.6240847128,1000003.565,999996.4243050001,10989982.37,10990017.526973523,2.537550521142914
1000808.78,999188.7936600001,1003664,996325.008,1000043.701,999956.167897,1000034.15,999965.74755,1000023.471,999976.458587,1000011.4,999988.5658,999984.668,1000015.2337380629,999933.0869999999,1000066.6988603859,1000003.63,999996.3591100001,10989980.584999999,10990019.306634542,2.6306732887361233
1000816.78,999180.76966,1003811,996177.567,1000034.15,999965.74755,1000045.413,999954.450761,1000011.99,999987.97403,1000024.867,999975.058399,999983.867,1000016.0317431475,999929.703,1000070.0727387508,1000003.7350000001,999996.253795,10989980.01,10990019.877338558,2.735138193825749
1000844.7799999999,999152.6856600001,1000034.15,999965.74755,1003948,996040.156,1000047.2010000001,999952.6573969999,1000025.379,999974.544863,1000012.8800000001,999987.08136,999983.797,1000016.1006351217,999927.723,1000072.0468165175,1000003.835,999996.153495,10989979.625000002,10990020.261127103,2.8545390478923443
1000859.905,999137.5152850001,1004079.25,995908.51225,1000034.15,999965.74755,1000049.043,999950.809871,1000025.76,999974.16272,1000013.4500000001,999986.5096499999,999984.088,1000015.8078934228,999924.922,1000074.839438651,1000003.905,999996.083285,10989979.174999999,10990020.709661322,2.9663611249483153
1000866.78,999130.61966,1004201.25,995786.14625,1000034.2019999999,999965.6953939999,1000050.601,999949.2471970001,1000026.725,999973.194825,1000013.77,999986.18869,999984.503,1000015.3915585574,999923.9619999999,1000075.7965672653,1000004.04,999995.94788,10989979.64,10990020.243206412,3.0728346332753276
1000878.405,999118.9597850001,1004329,995658.013,1000051.4630000001,999948.382611,1000034.8139999999,999965.081558,1000027.838,999972.078486,1000014.05,999985.90785,999985.123,1000014.7696985573,999923.823,1000075.9350017369,1000004.1000000001,999995.8877,10989980.455,10990019.425761411,3.1955115132283693
1000887.28,999110.0581599999,1000036.812,999963.0775639999,1004406.0000000001,995580.782,1000028.624,999971.2901280001,1000052.4530000001,999947.3896410001,999986.118,1000013.7717135574,999924.008,1000075.7494467368,1000014.32,999985.6370400001,1000004.24,999995.74728,10989981.215,10990018.66348141,3.2780643320791527
1000893.78,999103.5386600001,1000039.0210000001,999960.861937,1004475.2499999999,995511.3242500001,1000053.583,999946.256251,1000029.1379999999,999970.774586,1000014.79,999985.1656300001,999987.313,1000012.5731285573,999924.1549999999,1000075.6020057368,10989982.014999999,10990017.86108141,1000004.305,999995.682085,3.3546953510263147
1000901.28,999096.01616,1004544,995442.368,1000054.7159999999,999945.119852,1000041.542,999958.3333739999,1000029.51,999970.40147,1000014.9199999999,999985.0352400001,999989.033,1000010.8479685573,999924.3319999999,1000075.4244747368,1000004.425,999995.5617249999,10989983.309999999,10990016.562196411,3.435533604161355
1000907.405,999089.872785,1000043.8369999999,999956.031489,1000055.883,999943.949351,1004612.25,995373.91325,1000029.86,999970.05042,1000015.0900000001,999984.86473,999989.608,1000010.2712435573,999924.49,1000075.2660007369,1000004.51,999995.4764700001,10989983.725000001,10990016.14595141,3.5152168069359657
1000913.78,999083.47866,1000045.9500000001,999953.91215,1004680.5,995305.4585,1000057.036,999942.7928919999,1000030.173,999969.736481,1000015.1599999999,999984.79452,999990.1229999999,1000009.7546985573,999924.643,1000075.1125417368,1000004.595,999995.3912150001,10989983.895,10990015.975441411,3.5973980885558716
1004741.4999999999,995244.2755,1000058.163,999941.662511,1000047.517,999952.3404489999,1000030.5,999969.4084999999,1000015.27,999984.68419,999990.712,1000009.1639315573,1000004.7100000001,999995.27587,999924.813,1000074.9420317367,1000926.78,999070.4396599999,10989984.13,10990015.73973641,3.68157562441053
1000934.78,999062.41566,1000049.116,999950.736652,1000059.2930000001,999940.5291210001,1000030.85,999969.0574500001,1000015.41,999984.5437700001,999991.233,1000008.6413685573,999924.963,1000074.7915817368,1000004.7749999999,999995.210675,10989984.450000001,10990015.418776412,1004803.2500000001,995182.34025,3.7641043283708973
1000050.738,999949.109786,1000941.28,999055.89616,1004862.25,995123.16325,1000060.456,999939.362632,1000031.1919999999,999968.714424,1000015.49,999984.46353,999991.5430000001,1000008.3304385573,999925.1420000001,1000074.6120447369,1000004.91,999995.07527,10989984.780000001,10990015.08778641,3.8444682332410522
1000052.2919999999,999947.551124,1004920.75,995064.48775,1000061.373,999938.442881,1000948.78,999048.3736599999,1000031.578,999968.327266,1000015.61,999984.34317,999991.7320000001,1000008.1408715573,999925.2760000001,1000074.4776427367,1000004.975,999995.010075,10989985.03,10990014.83703641,3.9275323224451872
1000955.28,999041.85416,1000053.597,999946.242209,1004978.75,995006.31375,1000062.306,999937.507082,1000032.1610000001,999967.7425170001,1000016.26,999983.69122,999991.808,1000008.0645896381,999925.222,1000074.531409329,1000005.1,999994.8847,10989984.875,10990014.991363116,4.011418547978965
1000961.28,999035.8361600001,1005035,994949.895,1000063.681,999936.1279569999,1000054.8720000001,999944.963384,1000032.602,999967.300194,1000016.5,999983.4504999999,999991.718,1000008.1533618814,999924.983,1000074.7696944736,1000005.1699999999,999994.81449,10989984.57,10990015.294851748,4.094385215200056
1000055.1179999999,999944.716646,1000976.405,999020.6657850001,1000065.13,999934.6746100001,1005096.75,994887.9597499999,1000033.068,999966.8327960001,1000017.1299999999,999982.81861,999990.503,1000009.3646678734,999923.617,1000076.1316087308,1000005.265,999994.719205,10989983.33,10990016.531142877,4.194839322196484
1000984.405,999012.641785,1000055.1259999999,999944.708622,1000033.76,999966.1387199999,1000066.0210000001,999933.7809370001,1005186.25,994798.19125,1000017.65,999982.29705,999988.563,1000011.2988652812,999920.178,1000079.5603225891,1000005.37,999994.6138899999,10989981.065,10990018.7893682,4.322077659771717
1000055.1259999999,999944.708622,1000066.921,999932.878237,1000989.905,999007.1252850001,1005279.4999999999,994704.6614999999,1000034.689,999965.2069329999,1000017.84,999982.10648,999986.143,1000013.711626996,1000005.4349999999,999994.548695,999914.952,1000084.7706914826,10989977.965000002,10990021.880096016,4.452756357715346
1000997.2799999999,998999.72816,1005408.5,994575.2744999999,1000055.1259999999,999944.708622,1000068.154,999931.641538,1000036.502,999963.388494,1000017.98,999981.96606,999983.757,1000016.0904904057,999909.797,1000089.9102727388,1000005.57,999994.4132899999,10989975.715,10990024.123126566,4.652887689582116
1001009.2799999999,998987.69216,1005510.5,994472.9685,1000069.819,999929.971543,1000055.1259999999,999944.708622,1000036.971,999962.918087,1000018.11,999981.83567,999981.024,1000018.815244037,999903.632,1000096.0568330579,1000005.63,999994.35311,10989972.61,10990027.218839427,4.824563186397734
1001015.28,998981.67416,1005621.75,994361.38475,1000071.215,999928.571355,1000055.1259999999,999944.708622,1000037.393,999962.494821,1000018.1799999999,999981.7654599999,999978.944,1000020.8884295892,999895.8849999999,1000103.7806615722,1000005.7649999999,999994.217705,10989970.215,10990029.606675917,5.011912737980464
1001038.03,998958.8559099999,1000055.1259999999,999944.708622,1005741.25,994241.52625,1000072.5959999999,999927.186212,1000037.8130000001,999962.0735609999,1000018.74,999981.2037800001,999976.543,1000023.2820684027,999889.468,1000110.1784681525,1000005.835,999994.147495,10989968.15,10990031.665499447,5.263707362137796
1001047.155,998949.703535,1005867.5,994114.8975,1000055.1259999999,999944.708622,1000073.671,999926.107987,1000038.1900000001,999961.6954300001,1000019.09,999980.85273,999973.853,1000025.9640225405,999882.436,1000117.1894352513,1000005.9450000001,999994.037165,10989966.254999999,10990033.55483145,5.520191697858334
1001053.1549999999,998943.6855349999,1000055.1259999999,999944.708622,1005967,994015.0989999999,1000074.756,999925.019732,1000038.563,999961.3213109999,1000019.24,999980.70228,999973.124,1000026.6889249532,999875.898,1000123.7078799172,10989964.785,10990035.02043464,1000006.04,999993.9418799999,5.736308524872221
1001060.53,998936.28841,1000076.3049999999,999923.4660850001,1000055.1259999999,999944.708622,1006064.75,993917.05575,1000039.01,999960.87297,1000019.3800000001,999980.56186,999972.118,1000027.6914966082,999870.5719999999,1000129.0179497079,1000006.12,999993.86164,10989963.97,10990035.832996953,5.971424658842411
1001067.1549999999,998929.6435349999,1000055.1379999999,999944.696586,1006166.25,993815.25125,1000077.271,999922.497187,1000039.4,999960.4818000001,1000019.9700000001,999979.97009,999971.708,1000028.0995573549,999866.978,1000132.6011999572,1000006.25,999993.73125,10989963.72,10990036.082249198,6.238592596050306
1001073.53,998923.24941,1000055.189,999944.645433,1006266.7500000001,993714.4497499999,1000039.8400000001,999960.0404800001,1000078.768,999920.9956959999,1000020.65,999979.2880500001,999972.167,1000027.6389347229,999865.693,1000133.8823564876,1000006.3150000001,999993.666055,10989963.98,10990035.821439242,6.535773870617469
1001086.155,998910.586535,1006349.0000000001,993631.953,1000055.493,999944.340521,1000079.791,999919.969627,1000040.328,999959.551016,1000021.36,999978.57592,999972.8879999999,1000026.9157717228,999865.634,1000133.9407846092,1000006.44,999993.54068,10989965,10990034.798379242,6.828160856818595
1001095.03,998901.68491,1000055.972,999943.860084,1006417.2500000001,993563.4982500001,1000080.863,999918.8944110001,1000040.95,999958.92715,1000022.1,999977.8337000001,999974.4330000001,1000025.3661367228,999865.802,1000133.7722806091,1000006.515,999993.4654549999,10989965.61,10990034.186549243,7.088946999434741
1001105.03,998891.6549099999,1000056.9369999999,999942.892189,1006477,993503.569,1000022.46,999977.47262,999976.328,1000023.4654517228,1000081.992,999917.7620239999,1000041.478,999958.397566,10989966.209999999,10990033.584749244,1000006.625,999993.355125,999866.0070000001,1000133.5666656093,7.343654885126257
1001112.532,998884.1304039999,1006537,993443.3890000001,1000058.4619999999,999941.362614,1000083.1520000001,999916.598544,1000041.9419999999,999957.9321740001,1000022.5800000001,999977.35226,999866.344,1000133.2286546091,999977.7329999999,1000022.0562367227,1000006.715,999993.2648550001,10989966.66,10990033.13339924,7.605700276088863
1001119.1549999999,998877.487535,1006596.5,993383.7104999999,1000059.9400000001,999939.8801800001,1000042.289,999957.584133,1000084.38,999915.36686,1000022.87,999977.06139,999978.528,1000021.2588517228,999866.543,1000133.0290576092,1000006.815,999993.164555,10989966.935,10990032.857574243,7.875995099133975
1001125.53,998871.0934100001,1000061.398,999938.417806,1006656,993324.032,1000042.602,999957.270194,1000085.482,999914.261554,1000023.0199999999,999976.91094,999980.193,1000019.5888567228,999866.747,1000132.8244456091,1000006.92,999993.05924,10989967.19,10990032.601809243,8.165038570978734
1001139.53,998857.0514100001,1006715.5,993264.3535,1000062.8659999999,999936.945402,1000086.64,999913.10008,1000042.94,999956.9311800001,1000023.15,999976.78055,999981.708,1000018.0693117229,999866.901,1000132.6699836092,1000007.015,999992.963955,10989967.440000001,10990032.351059243,8.507191993783302
1001148.1630000001,998848.392511,1000064.378,999935.4288659999,1000087.732,999912.004804,1006774.5,993205.1765,1000043.28,999956.59016,1000023.2200000001,999976.71034,999982.308,1000017.4675117228,999867.091,1000132.4794136091,1000007.115,999992.863655,10989967.65,10990032.140429242,8.842560200606087
1001154.532,998842.004404,1006834.25,993145.24725,1000065.859,999933.943423,1000088.931,999910.802207,1000043.62,999956.24914,1000023.3099999999,999976.6200700001,999982.853,1000016.9208767228,999867.2479999999,1000132.3219426092,1000007.215,999992.763355,10989967.895,10990031.894694243,9.194803324272694
1001162.036,998834.4778920001,1000067.2980000001,999932.500106,1006894.4999999999,993084.8165,1000089.8879999999,999909.8423360001,1000043.9909999999,999955.8770270001,1000023.455,999976.4746350001,999983.158,1000016.6149617229,999867.4130000001,1000132.1564476091,1000007.295,999992.683115,10989968.15,10990031.63892924,9.579863045549937
1001168.0360000001,998828.459892,1006954.25,993024.88725,1000068.5270000001,999931.267419,1000090.837,999908.890489,1000044.379,999955.4878629999,1000023.93,999975.99821,999983.257,1000016.5156647228,999867.331,1000132.2381304526,1000007.4149999999,999992.5627550001,10989968.12,10990031.668689735,9.979628271166057
1001174.532,998821.944404,1000069.2980000001,999930.494106,1007011.5000000001,992967.4655,1000044.957,999954.9081290001,1000024.4450000001,999975.481665,1000091.747,999907.977759,999983.304,1000016.466552675,999867.068,1000132.5000861984,1000007.48,999992.49756,10989967.760000002,10990032.027253503,10.392026540976833
1001187.53,998808.90741,1000069.3289999999,999930.463013,1007066,992912.802,1000092.667,999907.0549989999,1000045.508,999954.355476,1000024.61,999975.31617,999983.573,1000016.1939538564,999865.5950000001,1000133.9686804158,1000007.615,999992.362155,10989966.515,10990033.268529676,10.842506651487902
1000069.3289999999,999930.463013,1007123.75,992854.87875,1001197.163,998799.245511,1000093.5279999999,999906.191416,1000046.02,999953.84194,1000024.76,999975.16572,999982.429,1000017.3343523907,999862.522,1000137.03248899,1000007.68,999992.2969600001,10989964.38,10990035.397143833,11.298030018186523
1001202.655,998793.737035,1007180.2499999999,992798.2092500001,1000069.3289999999,999930.463013,1000094.5120000001,999905.2044640001,1000046.48,999953.3805600001,1000024.9349999999,999974.990195,999981.289,1000018.4701577956,999857.636,1000141.9038748324,1000007.7949999999,999992.181615,10989961.479999999,10990038.288469855,11.726432406362854
1001210.538,998785.830386,1000096.603,999903.107191,1000047.527,999952.330419,1000069.3289999999,999930.463013,1007232,992746.304,1000025.13,999974.79461,999980.5830000001,1000019.1731594586,999851.252,1000148.2687801167,1000007.88,999992.09636,10989958.524999999,10990041.23463137,12.170193235352547
1001219.03,998777.31291,1000069.3289999999,999930.463013,1007288,992690.1359999999,1000098.235,999901.4702949999,1000048.243,999951.612271,1000025.57,999974.35329,999846.471,1000153.035480017,999979.432,1000020.3192190299,1000007.9600000001,999992.01612,10989955.35,10990044.40013486,12.694977548306667
1001228.536,998767.778392,1000069.3289999999,999930.463013,1007339,992638.983,1000099.7660000001,999899.934702,1000048.9,999950.9533,1000025.8450000001,999974.077465,999976.612,1000023.130784334,999839.6170000001,1000159.8689795184,1000008.085,999991.8907450001,10989952.27,10990047.470922496,13.183372069240209
1001242.5380000001,998753.734386,1007389.5,992588.3315000001,1000069.3289999999,999930.463013,1000049.3099999999,999950.54207,1000100.72,999898.9778400001,1000026.725,999973.194825,999974.348,1000025.3880126491,999832.274,1000167.1900164078,1000008.15,999991.8255500001,10989949.649999999,10990050.083086008,13.753867308359307
1001257.0299999999,998739.19891,1000069.3289999999,999930.463013,1000101.6179999999,999898.077146,1007442.75,992534.92175,1000049.73,999950.12081,1000027.43,999972.48771,999973.998,1000025.7349228495,999825.6229999999,1000173.8211230877,1000008.29,999991.68513,10989947.72,10990052.007313326,14.447930763202084
1001270.0299999999,998726.1599099999,1007496.75,992480.75975,1000069.3289999999,999930.463013,1000103.33,999896.3600100001,1000050.4469999999,999949.401659,1000027.73,999972.1868100001,999972.897,1000026.832216348,999819.89,1000179.5369755303,1000008.35,999991.62495,10989946.32,10990053.403125886,15.218123484411858
1001284.911,998711.234267,1000069.3289999999,999930.463013,1007553,992424.341,1000105.118,999894.566646,1000050.959,999948.888123,1000028.335,999971.579995,999971.983,1000027.7426378146,999815.588,1000183.8261081326,1000008.485,999991.489545,10989945.59,10990054.130882528,16.166714193106124
1001298.1630000001,998697.942511,1007612.2500000001,992364.91325,1000069.3369999999,999930.454989,1000106.96,999892.71912,1000051.4,999948.4458,1000028.875,999971.038375,999972.157,1000027.5649705254,1000008.56,999991.41432,999812.678,1000186.7274042442,10989945.805,10990053.913829636,17.31084820613561
1001309.911,998686.1592669999,1000069.368,999930.423896,1007672.5,992304.4824999999,1000052.2520000001,999947.591244,1000029.06,999970.85282,1000108.518,999891.156446,10989945.965,10990053.753349636,999811.027,1000188.3734660588,999971.927,1000027.7942825892,1000008.6749999999,999991.298975,18.6208558153244
1001329.9130000001,998666.097261,1000109.38,999890.2918600001,1007735.25,992241.54425,1000070.585,999929.203245,1000053.238,999946.602286,1000029.31,999970.6020699999,999972.2779999999,1000027.4422295892,999811.0029999999,1000188.3970048574,1000008.765,999991.208705,10989946.340000002,10990053.377224635,20.445933096112643
1001343.5319999999,998652.437404,1000071.622,999928.163134,1007797.5,992179.1075,1000110.37,999889.29889,1000054.0980000001,999945.739706,1000030.605,999969.3031850001,999972.787,1000026.9317025893,1000008.86,999991.11342,999811.154,1000188.2455518574,10989946.89,10990052.825574636,22.492656344981548
1000072.9779999999,999926.803066,1001354.905,998641.030285,1000111.5,999888.1654999999,1000054.578,999945.2582660001,1007859.25,992117.17225,1000030.845,999969.062465,999973.4630000001,1000026.2536745893,999811.4249999999,1000187.9737388575,1000008.9700000001,999991.00309,10989947.459999999,10990052.253864637,24.85718759752087
1001367.03,998628.86891,1000074.758,999925.0177259999,1000112.6329999999,999887.029101,1007921.7499999999,992054.4847500001,1000054.9519999999,999944.883144,1000031.45,999968.45565,999973.8979999999,1000025.8173695892,999811.8080000001,1000187.5895898575,1000009.065,999990.9078050001,10989948.06,10990051.652064636,27.836748109573367
1001378.53,998617.33441,1000113.8,999885.8585999999,1000076.417,999923.353749,1007983.25,991992.80025,1000031.58,999968.3252600001,1000055.3010000001,999944.533097,999974.2570000001,1000025.4572925892,999812.093,1000187.3037348574,1000009.165,999990.807505,10989948.700000001,10990051.010144636,31.46862648165316
